Locality,Municipality,Population(December 31th, 2017),Land area(hectare),Population density(inv./km²),Locality code,Latitude,Longitude
Bureå,Skellefteå kommun,2 570,392,656,8144
Burgsvik,Gotlands kommun,333,127,262,2500
Burlövs egnahem,Burlövs kommun,650,28,2 321,3374
Burseryd,Gislaveds kommun,977,198,493,1452
Burträsk,Skellefteå kommun,1 644,190,865,8148
Buskhyttan,Nyköpings kommun,199,58,343,0728
Butbro,Finspångs kommun,283,40,708,1206
Bygdeå,Robertsfors kommun,513,79,649,8152
Bygdsiljum,Skellefteå kommun,333,97,343,8156
Byske,Skellefteå kommun,1 770,326,543,8160
Bålsta,Håbo kommun,13 418,1 022,1 313,0520
Bårslöv,Helsingborgs kommun,2 770,138,2 007,3376
Båstad,Båstads kommun,5 373,858,626,2840
Båtskärsnäs,Kalix kommun,249,66,377,8560
Bäckaskog,Kristianstads kommun,312,42,743,2844
Bäckebo,Nybro kommun,228,83,275,2144
Bäckefors,Bengtsfors kommun,728,139,524,4768
Bäckhammar,Kristinehamns kommun,303,83,365,5624
Bälgviken,Eskilstuna kommun,235,39,603,0730
Bälinge,Luleå kommun,301,61,493,8564
Bälinge,Uppsala kommun,2 417,156,1 549,0524
Bärby,Uppsala kommun,348,56,621,0526
Bäsna,Gagnefs kommun,674,149,452,6456
"Bökenäs, Korsanäs och Kuggeboda",Ronneby kommun,451,241,187,2682
Böle,Piteå kommun,346,65,532,8568
Bönan,Gävle kommun,901,304,296,7038
Charlottenberg,Eda kommun,2 505,276,908,5628
Dalarö,Haninge kommun,1 812,615,295,0132
Dalby,Lunds kommun,6 464,412,1 569,3380
Dals Långed,Bengtsfors kommun,1 493,210,711,4772
Dals Rostock,Melleruds kommun,899,143,629,4776
Dalsjöfors,Borås kommun,3 702,352,1 052,4780
Dalstorp,Tranemo kommun,713,141,506,4784
Dalum,Ulricehamns kommun,666,78,854,4788
Danholn,Falu kommun,460,80,575,6472
Danmark,Uppsala kommun,448,54,830,0530
Dannemora,Östhammars kommun,236,68,347,0528
Dannike,Borås kommun,448,77,582,4792
Degeberga,Kristianstads kommun,1 359,212,641,2848
Degerfors,Degerfors kommun,7 312,788,928,5916
Degerhamn,Mörbylånga kommun,329,126,261,2152
Deje,Forshaga kommun,2 715,318,854,5632
Delsbo,Hudiksvalls kommun,2 270,337,674,7040
Dingle,Munkedals kommun,947,97,976,4324
Dingtuna,Västerås kommun,1 035,103,1 005,6208
Diseröd,Kungälvs kommun,1 334,118,1 131,4328
Diö,Älmhults kommun,891,135,660,1832
Djupekås,Sölvesborgs kommun,211,32,659,2610
Djupvik och Fagerfjäll,Tjörns kommun,272,195,139,4326
Djura,Leksands kommun,388,125,310,6476
Djurås,Gagnefs kommun,2 150,387,556,6484
Djurö,Värmdö kommun,1 441,627,230,0136
Djurön,Norrköpings kommun,270,55,491,1058
Docksta,Kramfors kommun,397,113,351,7448
Domsten,Helsingborgs kommun,620,49,1 265,3384
Donsö,Göteborgs kommun,1 471,104,1 414,4332
Dorotea,Dorotea kommun,1 428,203,703,8168
Drag,Kalmars kommun,504,150,336,2422
Drottningholm,Ekerö kommun,364,47,774,0140
Drottningskär,Karlskrona kommun,510,223,229,2612
Drängsmark,Skellefteå kommun,340,63,540,8340
Dunö,Kalmars kommun,406,59,688,2154
Duvesjön,Kungälvs kommun,311,46,676,4562
Dvärsätt,Krokoms kommun,756,131,577,7824
